"TS","N","MBYTES"
"2013-08-14 03:00:00",17,12726.41
"2013-08-14 04:00:00",20,15035.24
"2013-08-14 05:00:00",19,14289.41
"2013-08-14 06:00:00",15,11362.23
"2013-08-14 07:00:00",84,74104.51
"2013-08-14 08:00:00",13,9800.53
"2013-08-14 09:00:00",36,28094.67
"2013-08-14 10:00:00",23,17633.42
"2013-08-14 11:00:00",15,11582.54
"2013-08-14 12:00:00",6,4044.26
"2013-08-14 13:00:00",10,7392.25
"2013-08-14 14:00:00",25,19494.43
"2013-08-14 15:00:00",9,6817.86
"2013-08-14 16:00:00",9,6507.61
"2013-08-14 17:00:00",22,16315.25
"2013-08-14 18:00:00",56,44317.04
"2013-08-14 19:00:00",11,7872.52
"2013-08-14 20:00:00",15,11150.14
"2013-08-14 21:00:00",6,4104.36
"2013-08-14 22:00:00",4,1365.02
"2013-08-14 23:00:00",11,7627.36
"2013-08-15 00:00:00",16,11992.04
"2013-08-15 01:00:00",15,11220.12
"2013-08-15 02:00:00",20,15031.44
"2013-08-15 03:00:00",11,8235.78
"2013-08-15 04:00:00",15,11250.4
"2013-08-15 05:00:00",8,5871.66
"2013-08-15 06:00:00",10,7537.74
"2013-08-15 07:00:00",77,68580.86
"2013-08-15 08:00:00",11,8794.98
"2013-08-15 09:00:00",15,11208.08
"2013-08-15 10:00:00",7,4927.42
"2013-08-15 11:00:00",13,9756.83
"2013-08-15 12:00:00",8,5114.13
"2013-08-15 13:00:00",13,9605.53
"2013-08-15 14:00:00",4,1671.59
"2013-08-15 15:00:00",4,1664.6
"2013-08-15 16:00:00",6,3908.17
"2013-08-15 17:00:00",5,2860
"2013-08-15 18:00:00",4,1336.08
"2013-08-15 19:00:00",10,7133.44
"2013-08-15 20:00:00",13,9247.13
"2013-08-15 21:00:00",5,2309.59
"2013-08-15 22:00:00",4,1822.26
"2013-08-15 23:00:00",10,6738.86
"2013-08-16 00:00:00",16,11972.79
"2013-08-16 01:00:00",16,11988.95
"2013-08-16 02:00:00",17,12102.68
"2013-08-16 03:00:00",9,5506.03
"2013-08-16 04:00:00",21,15822.3
"2013-08-16 05:00:00",5,3460.73
"2013-08-16 06:00:00",8,6013.81
"2013-08-16 07:00:00",67,57119.81
"2013-08-16 08:00:00",8,6063.63
"2013-08-16 09:00:00",22,16884.44
"2013-08-16 10:00:00",22,16848.36
"2013-08-16 11:00:00",16,12136.88
"2013-08-16 12:00:00",22,17067.67
"2013-08-16 13:00:00",16,11996.88
"2013-08-16 14:00:00",12,9236.84
"2013-08-16 15:00:00",46,36097.78
"2013-08-16 16:00:00",10,7552.92
"2013-08-16 17:00:00",18,13768.24
"2013-08-16 18:00:00",4,1108.67
"2013-08-16 19:00:00",7,4818.07
"2013-08-16 20:00:00",35,28599.54
"2013-08-16 21:00:00",101,90716.21
"2013-08-16 22:00:00",9,5757.4
"2013-08-16 23:00:00",11,7784.49
