"TS","WAIT_CLASS","EVENT","READ_OR_WRITE","BLOCKING_SESSION","MACHINE","MODULE","IN_STAGE","SQL_ID","N"
"2013-09-01 06:53:00","Concurrency","library cache: mutex X","READ","","app1-host","EMPTY","NONE","",18
"2013-09-01 06:53:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","hrq46vk39s57g",6
"2013-09-01 06:52:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","",1051
"2013-09-01 06:51:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","1a18fvzdc8b4j",12
"2013-09-01 06:49:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","7kqka5vushrtt",6
"2013-09-01 06:48:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","",1080
"2013-09-01 06:48:00","Concurrency","library cache: mutex X","READ","","app1-host","EMPTY","NONE","",18
"2013-09-01 06:46:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","",1174
"2013-09-01 06:45:00","Concurrency","library cache: mutex X","READ","5819:17159","app12-host","Module1","SOFT PARSE","",82
"2013-09-01 06:45:00","Concurrency","library cache: mutex X","READ","","app1-host","EMPTY","NONE","",18
"2013-09-01 06:44:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","",1041
"2013-09-01 06:44:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","7kqka5vushrtt",6
"2013-09-01 06:41:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","",1484
"2013-09-01 06:41:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","7kqka5vushrtt",6
"2013-09-01 06:40:00","Concurrency","library cache: mutex X","READ","","app1-host","EMPTY","NONE","",18
"2013-09-01 06:38:00","Concurrency","library cache: mutex X","READ","5819:17159","app1-host","Module1","SOFT PARSE","hrq46vk39s57g",6
"2013-09-01 06:37:00","Concurrency","library cache: mutex X","READ","5819:17159","app12-host","Module1","SOFT PARSE","",97
